word,noun,pronoun,verb,adjective,adverb,preposition,conjunction,interjection
the,False,False,False,False,True,True,False,False
big,True,False,False,True,True,False,False,False
we,False,True,False,False,False,False,False,False
are,True,False,False,False,False,False,False,False
floating,False,False,False,True,False,False,False,False
up,True,False,True,True,True,True,False,False
steep,True,False,True,True,True,False,False,False
scrubby,False,False,False,True,False,False,False,False
slope,True,False,True,True,False,False,False,False
hear,True,False,True,False,False,False,False,False
male,True,False,False,True,False,False,False,False
voices,True,False,True,False,False,False,False,False
gently,True,False,True,True,True,False,False,False
singing,True,False,True,True,False,False,False,False
tumbling,True,False,False,True,False,False,False,False
tumbleweeds,True,False,False,False,False,False,False,False
and,True,False,False,False,False,False,True,False
deep,True,False,False,True,True,False,False,False
affable,True,False,False,True,True,False,False,False
westernaccented,False,False,False,False,False,False,False,False
voicesam,False,False,False,False,False,False,False,False
perhaps,True,False,False,False,True,False,False,False
voiceover,True,False,False,False,False,False,False,False
way,True,False,False,True,True,False,False,False
out,True,False,True,True,True,True,False,False
west,True,False,False,True,True,False,False,False
there,True,True,False,True,True,False,False,False
was,False,False,False,False,False,False,False,False
fella,True,False,False,False,False,False,False,False
want,True,False,True,False,False,False,False,False
to,False,False,False,False,True,True,False,False
tell,False,False,True,False,False,False,False,False
you,False,True,False,False,False,False,False,False
about,False,False,False,True,True,True,False,False
by,True,False,False,True,True,True,False,True
name,True,False,True,True,False,False,False,False
of,False,False,False,False,False,True,False,False
jeff,False,False,False,False,False,False,False,False
at,True,False,True,False,False,True,False,False
least,True,False,False,True,True,False,False,False
that,False,True,False,True,True,False,True,False
handle,True,False,True,True,False,False,False,False
his,False,True,False,True,False,False,False,False
lovin',False,False,False,False,False,False,False,False
parents,True,False,True,True,True,False,False,False
gave,False,False,False,False,False,False,False,False
him,False,True,False,False,False,False,False,False
but,True,True,False,False,True,True,True,False
he,False,True,False,False,False,False,False,False
never,False,False,False,False,True,False,False,False
had,False,False,False,False,False,False,False,False
much,True,False,False,True,True,False,False,False
use,True,False,True,False,False,False,False,False
for,False,False,False,False,False,True,True,False
it,True,True,False,False,False,False,False,False
himself,False,True,False,False,False,False,False,False
this,False,True,False,True,True,False,False,False
called,True,False,True,False,False,False,False,False
dude,True,False,True,True,True,False,False,False
now,True,False,False,True,True,False,True,False
that's,False,False,False,False,False,False,False,False
no,True,False,False,True,True,False,False,False
one,True,True,False,True,False,False,False,False
would,False,False,True,False,False,False,False,False
selfapply,False,False,False,False,False,False,False,False
where,True,False,False,False,True,False,True,False
come,True,False,True,False,False,False,False,False
from,False,False,False,False,False,True,False,False
then,True,False,False,True,True,False,False,False
lot,True,False,True,False,False,False,False,False
didn't,False,False,False,False,False,False,False,False
make,True,False,True,False,False,False,False,False
whole,True,False,False,True,True,False,False,False
sense,True,False,True,False,False,False,False,False
me,False,True,False,False,False,False,False,False
lived,False,False,True,True,True,False,False,False
like,True,False,True,True,True,True,True,False
wise,True,False,False,True,True,False,False,False
again,False,False,False,False,True,False,False,False
maybe,True,False,False,False,True,False,False,False
why,True,False,False,False,True,False,True,True
found,True,False,True,True,False,False,False,False
place,True,False,True,True,False,False,False,False
s'durned,False,False,False,False,False,False,False,False
innarestin',False,False,False,False,False,False,False,False
top,True,False,True,True,False,False,False,False
rise,True,False,True,False,False,False,False,False
smoggy,False,False,False,True,False,False,False,False
vastness,True,False,False,True,True,False,False,False
twilight,True,False,False,False,False,False,False,False
stretches,True,False,True,True,False,False,False,False
before,False,False,False,False,True,True,True,False
us,False,True,False,False,False,False,False,False
they,False,True,False,False,False,False,False,False
call,True,False,True,False,False,False,False,False
city,True,False,False,False,False,False,False,False
angels,True,False,False,False,False,False,False,False
find,True,False,True,True,False,False,False,False
be,False,False,True,False,False,False,False,False
exactly,False,False,False,False,True,False,False,False
i'll,False,False,False,False,False,False,False,False
allow,True,False,True,True,False,False,False,False
as,True,True,False,False,True,True,True,False
some,False,True,False,True,True,False,False,False
nice,True,False,False,True,True,False,False,False
folks,True,False,False,True,False,False,False,False
'course,False,False,False,False,False,False,False,False
can't,False,False,False,False,False,False,False,False
say,True,False,True,False,True,False,False,False
seen,False,False,False,False,False,False,False,False
london,True,False,False,False,False,False,False,False
been,False,False,True,False,False,False,False,False
france,False,False,False,False,False,False,False,False
ain't,False,False,False,False,False,False,False,False
queen,True,False,True,True,False,False,False,False
in,True,False,False,True,True,True,False,False
her,False,True,False,True,False,False,False,False
damn,True,False,True,True,False,False,False,False
undies,False,False,False,False,False,False,False,False
says,True,False,True,False,True,False,False,False
what,False,True,False,True,True,False,False,False
after,True,False,False,True,True,True,True,False
seeing,True,False,False,False,False,False,True,False
thisahere,False,False,False,False,False,False,False,False
story,True,False,True,True,False,False,False,False
i'm,False,False,False,False,False,False,False,False
unfold,True,False,True,False,False,False,False,False
wal,False,False,False,False,False,False,False,False
guess,True,False,True,True,False,False,False,False
somethin',False,False,False,False,False,False,False,False
ever',False,False,False,False,False,False,False,False
bit,True,False,True,False,False,False,False,False
stupefyin',False,False,False,False,False,False,False,False
ya'd,False,False,False,False,False,False,False,False
see,True,False,True,True,False,False,False,False
any,False,True,False,True,True,False,False,False
those,False,False,False,False,False,False,False,False
other,True,True,True,True,True,False,False,False
places,True,False,True,True,False,False,False,False
english,True,False,True,True,False,False,False,False
too,False,False,False,False,True,False,False,False
so,True,True,False,True,True,False,True,False
can,True,False,True,False,False,False,False,False
die,True,False,True,False,False,False,False,False
with,False,False,False,False,False,True,False,False
smile,True,False,True,True,True,False,False,False
on,False,False,False,True,True,True,False,False
my,False,False,False,True,False,False,False,False
face,True,False,True,False,False,False,False,False
without,True,False,False,False,True,True,True,False
feelin',False,False,False,False,False,False,False,False
good,True,False,False,True,True,False,False,False
lord,True,False,True,False,False,False,False,False
gypped,True,False,True,False,False,False,False,False
interior,True,False,False,True,True,False,False,False
ralph's,False,False,False,False,False,False,False,False
is,False,False,False,False,False,False,False,False
late,True,False,False,True,True,False,False,False
supermarket,True,False,False,False,False,False,False,False
all,True,True,False,True,True,False,False,False
deserted,True,False,True,True,False,False,False,False
tracking,True,False,False,False,False,False,False,False
fortyish,True,False,False,True,False,False,False,False
man,True,False,True,True,False,False,False,False
bermuda,False,False,False,False,False,False,False,False
shorts,True,False,True,True,True,False,False,False
sunglasses,True,False,False,False,False,False,False,False
dairy,True,False,False,True,False,False,False,False
case,True,False,True,False,False,False,False,False
rumpled,True,False,True,False,False,False,False,False
look,True,False,True,False,False,False,False,False
relaxed,True,False,False,True,True,False,False,False
manner,True,False,False,True,False,False,False,False
suggest,True,False,True,False,False,False,False,False
whom,False,True,False,False,False,False,False,False
casualness,True,False,False,True,True,False,False,False
runs,True,False,True,True,False,False,False,False
feeling,True,False,False,True,True,False,False,False
quarts,True,False,False,False,False,False,False,False
milk,True,False,True,True,False,False,False,False
coldness,True,False,False,True,True,False,False,False
examining,True,False,True,True,False,False,False,False
their,False,False,False,True,False,False,False,False
expiration,True,False,False,False,False,False,False,False
dates,True,False,True,True,False,False,False,False
took,False,False,False,False,False,False,False,False
back,True,False,True,True,True,False,False,False
early,True,False,False,True,True,False,False,False
nineties,True,False,False,True,False,False,False,False
just,True,False,False,True,True,False,False,False
time,True,False,True,True,False,False,False,False
our,False,False,False,True,False,False,False,False
conflict,True,False,True,True,False,False,False,False
sad'm,False,False,False,False,False,False,False,False
eyerackies,False,False,False,False,False,False,False,False
only,False,False,False,True,True,False,True,False
mention,True,False,True,True,False,False,False,False
'cause,False,False,False,False,False,False,True,False
times,False,False,False,False,False,True,False,False
there's,False,False,False,False,False,False,False,False
mani,True,False,False,False,False,False,False,False
won't,False,False,False,False,False,False,False,False
heero,False,False,False,False,False,False,False,False
what's,False,False,False,False,False,False,False,False
heerobut,False,False,False,False,False,False,False,False
sometimes,False,False,False,True,True,False,False,False
glances,True,False,True,False,False,False,False,False
furtively,True,False,False,True,True,False,False,False
opens,True,False,True,True,True,False,False,False
quart,True,False,False,False,False,False,False,False
sticks,True,False,True,True,False,False,False,False
nose,True,False,True,True,False,False,False,False
spout,True,False,True,True,False,False,False,False
sniffs,True,False,True,False,False,False,False,False
talkin',False,False,False,False,False,False,False,False
here,True,False,False,True,True,False,False,False
who,False,True,False,False,False,False,False,False
he's,False,False,False,False,False,False,False,False
time'n,False,False,False,False,False,False,False,False
fits,True,False,True,True,True,False,False,False
right,True,False,True,True,True,False,False,False
thereand,False,False,False,False,False,False,False,False
checkout,True,False,True,False,False,False,False,False
girl,True,False,False,False,False,False,False,False
she,True,True,False,False,False,False,False,False
waits,True,False,True,False,False,False,False,False
arms,True,False,True,True,False,False,False,False
folded,True,False,True,True,False,False,False,False
small,True,False,False,True,True,False,False,False
blackand,True,False,False,True,False,False,False,False
white,True,False,True,True,False,False,False,False
tv,True,False,False,False,False,False,False,False
next,True,False,False,True,True,True,False,False
register,True,False,True,False,False,False,False,False
shows,True,False,True,True,False,False,False,False
george,True,False,False,False,False,False,False,False
bush,True,False,True,False,False,False,False,False
house,True,False,True,True,False,False,False,False
lawn,True,False,False,True,False,False,False,False
helicopter,True,False,True,False,False,False,False,False
rotors,True,False,False,False,False,False,False,False
spinning,True,False,False,False,False,False,False,False
behind,True,False,False,False,True,True,False,False
aggression,True,False,False,False,False,False,False,False
will,True,False,True,False,False,False,False,False
not,True,False,False,False,True,False,False,False
stand,True,False,True,False,False,False,False,False
peeking,True,False,True,False,False,False,False,False
shades,True,False,True,True,False,False,False,False
scribbles,True,False,True,False,False,False,False,False
something,False,True,False,False,True,False,False,False
little,True,False,False,True,True,False,False,False
customer's,True,False,False,False,False,False,False,False
lectern,True,False,False,False,False,False,False,False
beads,True,False,True,False,False,False,False,False
mustache,True,False,False,True,False,False,False,False
even,True,False,True,True,True,False,False,False
if,True,False,False,False,False,False,True,False
lazy,True,False,True,True,True,False,False,False
certainly,False,False,False,False,True,False,False,False
thatquite,False,False,False,False,False,False,False,False
possibly,False,False,False,False,True,False,False,False
